Year,Quarter,Name,Count,Amount,Average Transaction
2020,Q2,Insurance,185348,33732166.0,181.99368754990613
2020,Q3,Insurance,354284,89495076.0,252.60829165302414
2020,Q4,Insurance,248626,170979933.0,687.6993275039617
2021,Q1,Insurance,318119,206307024.0,648.5215406813173
2021,Q2,Insurance,363989,295066678.0,810.6472393396504
2021,Q3,Insurance,374867,342403352.0,913.3995577098011
2021,Q4,Insurance,526327,655431877.0,1245.2940415369153
2022,Q1,Insurance,617606,887447241.0,1436.9148631975725
2022,Q2,Insurance,630758,857034846.0,1358.7379724078014
2022,Q3,Insurance,806491,1054717869.0,1307.7862852778271
2022,Q4,Insurance,1035364,1439762739.0,1390.5860537936417
2023,Q1,Insurance,923173,1408801224.0,1526.0424904107897
2023,Q2,Insurance,893850,1347399873.0,1507.4116160429603
2023,Q3,Insurance,1010211,1445234680.0,1430.6265522747228
2023,Q4,Insurance,1159063,1855299766.0,1600.6893205977588
