Year,Quarter,Name,Count,Amount,Average Transaction
2018,Q1,Recharge & bill payments,72550406,14472713558.652578,199.48494235376958
2018,Q1,Peer-to-peer payments,46982705,147245883542.77402,3134.0444008656805
2018,Q1,Merchant payments,5368669,4656678915.140091,867.3805211571231
2018,Q1,Financial Services,3762820,815853105.1000277,216.81959410761814
2018,Q1,Others,5761576,4643217301.269438,805.8936133567339
2018,Q2,Recharge & bill payments,92033715,24351225616.36898,264.5902712540614
2018,Q2,Peer-to-peer payments,74558816,264767671095.31842,3551.1249413525884
2018,Q2,Merchant payments,10613941,9052859939.339659,852.9216376216581
2018,Q2,Financial Services,5186569,1176991419.239996,226.9306393571542
2018,Q2,Others,4973199,5027454207.140578,1010.9095186298755
2018,Q3,Peer-to-peer payments,202021587,425967421714.0399,2108.5242821800025
2018,Q3,Recharge & bill payments,102290514,31364311860.394596,306.61994581818794
2018,Q3,Merchant payments,25175938,12433150984.830223,493.850556226752
2018,Q3,Financial Services,6218596,891447809.4200314,143.35194140607163
2018,Q3,Others,5594554,4449556277.54975,795.3370863074608
2018,Q4,Peer-to-peer payments,200235002,594995709377.7327,2971.487019925381
2018,Q4,Recharge & bill payments,131917248,39578607327.024284,300.0260233371779
2018,Q4,Merchant payments,71498510,30497289208.339787,426.5444022307568
2018,Q4,Financial Services,5216165,868584631.5900131,166.51785969002384
2018,Q4,Others,8246415,5802659774.449921,703.6584715236768
2019,Q1,Peer-to-peer payments,404841331,887893108631.5128,2193.187900154179
2019,Q1,Recharge & bill payments,180504739,55473071028.87885,307.32196470962936
2019,Q1,Merchant payments,110496541,40575915112.522,367.2143466692048
2019,Q1,Financial Services,4627353,603852042.0000324,130.4962128456663
2019,Q1,Others,8526177,5484252454.8204155,643.2252643617902
2019,Q2,Peer-to-peer payments,384711008,1196425281586.9927,3109.932538210585
2019,Q2,Recharge & bill payments,209898072,76865848586.98372,366.20559614756115
2019,Q2,Merchant payments,206467182,73415840739.88434,355.58116320822523
2019,Q2,Financial Services,2650384,545329308.0899862,205.75482952281112
2019,Q2,Others,11656557,6969423863.830339,597.8972919559643
2019,Q3,Peer-to-peer payments,461911865,1440512511470.7004,3118.5873769895484
2019,Q3,Merchant payments,376320628,123209398484.44376,327.4053807234924
2019,Q3,Recharge & bill payments,240103872,101520929811.06812,422.8208773370723
2019,Q3,Financial Services,2870292,617120839.9299941,215.00280805227973
2019,Q3,Others,13804992,6705143103.510092,485.7042368086915
2019,Q4,Peer-to-peer payments,703497002,1963952535223.0903,2791.6999356638203
2019,Q4,Merchant payments,456578271,174239646473.03162,381.6205403104512
2019,Q4,Recharge & bill payments,285310032,116344996244.26738,407.7844561885836
2019,Q4,Financial Services,2476840,551204225.4200497,222.5433315918871
2019,Q4,Others,12583379,4811822509.649999,382.3951030681027
2020,Q1,Peer-to-peer payments,693998661,2320557268853.593,3343.7489137368707
2020,Q1,Merchant payments,566355270,231298042209.83606,408.397439666865
2020,Q1,Recharge & bill payments,351300991,140373550367.1558,399.5819936846002
2020,Q1,Financial Services,1358171,773848137.0300016,569.7722429870772
2020,Q1,Others,10027019,4116905195.8207293,410.58117031799077
2020,Q2,Peer-to-peer payments,631031364,2243915932390.771,3555.9499264299184
2020,Q2,Recharge & bill payments,448842692,171590686463.15784,382.2958232840245
2020,Q2,Merchant payments,363275861,226908226049.51398,624.6168556999552
2020,Q2,Financial Services,1682062,1751767444.1000087,1041.4404725271772
2020,Q2,Others,3779461,1987466180.2098684,525.8596874553987
