Year,Quarter,State,Registered Users,App Opens,Average Opens
2018,Q1,Puducherry,49318,0,0.0
2018,Q1,Tamil Nadu,2104754,0,0.0
2018,Q1,Uttar Pradesh,4694250,0,0.0
2018,Q1,Madhya Pradesh,2553603,0,0.0
2018,Q1,Andhra Pradesh,3336450,0,0.0
2018,Q1,Tripura,55157,0,0.0
2018,Q1,Lakshadweep,501,0,0.0
2018,Q1,Manipur,29925,0,0.0
2018,Q1,Maharashtra,6106994,0,0.0
2018,Q1,Dadra & Nagar Haveli & Daman & Diu,53258,0,0.0
2018,Q1,Meghalaya,18513,0,0.0
2018,Q1,Andaman & Nicobar Islands,6740,0,0.0
2018,Q1,Haryana,1847357,0,0.0
2018,Q1,Rajasthan,3158202,0,0.0
2018,Q1,Ladakh,8784,0,0.0
2018,Q1,Punjab,847142,0,0.0
2018,Q1,Assam,385237,0,0.0
2018,Q1,Jharkhand,885762,0,0.0
2018,Q1,Odisha,1594015,0,0.0
2018,Q1,Bihar,2133804,0,0.0
2018,Q1,Kerala,784184,0,0.0
2018,Q1,Karnataka,3717763,0,0.0
2018,Q1,Chandigarh,86268,0,0.0
2018,Q1,Telangana,3315560,0,0.0
2018,Q1,Himachal Pradesh,227373,0,0.0
2018,Q1,West Bengal,2604789,0,0.0
2018,Q1,Gujarat,2690048,0,0.0
2018,Q1,Sikkim,20051,0,0.0
2018,Q1,Nagaland,15074,0,0.0
2018,Q1,Mizoram,7593,0,0.0
2018,Q1,Chhattisgarh,679263,0,0.0
2018,Q1,Jammu & Kashmir,176425,0,0.0
2018,Q1,Goa,91936,0,0.0
2018,Q1,Arunachal Pradesh,21495,0,0.0
2018,Q1,Delhi,2087022,0,0.0
2018,Q1,Uttarakhand,483043,0,0.0
2018,Q2,Puducherry,65580,0,0.0
2018,Q2,Tamil Nadu,2996036,0,0.0
2018,Q2,Uttar Pradesh,6442554,0,0.0
2018,Q2,Madhya Pradesh,3441662,0,0.0
2018,Q2,Andhra Pradesh,4402540,0,0.0
2018,Q2,Tripura,83369,0,0.0
2018,Q2,Lakshadweep,686,0,0.0
2018,Q2,Manipur,46055,0,0.0
2018,Q2,Maharashtra,8222371,0,0.0
2018,Q2,Dadra & Nagar Haveli & Daman & Diu,71458,0,0.0
2018,Q2,Meghalaya,26618,0,0.0
2018,Q2,Andaman & Nicobar Islands,9405,0,0.0
2018,Q2,Haryana,2447221,0,0.0
2018,Q2,Rajasthan,4212964,0,0.0
2018,Q2,Ladakh,12918,0,0.0
2018,Q2,Punjab,1152190,0,0.0
2018,Q2,Assam,571046,0,0.0
2018,Q2,Jharkhand,1230599,0,0.0
2018,Q2,Odisha,2185781,0,0.0
2018,Q2,Bihar,3005872,0,0.0
2018,Q2,Kerala,1066587,0,0.0
2018,Q2,Karnataka,5030665,0,0.0
2018,Q2,Chandigarh,115219,0,0.0
2018,Q2,Telangana,4260115,0,0.0
2018,Q2,Himachal Pradesh,315299,0,0.0
2018,Q2,West Bengal,3833795,0,0.0
2018,Q2,Gujarat,3565825,0,0.0
2018,Q2,Sikkim,28097,0,0.0
2018,Q2,Nagaland,22436,0,0.0
2018,Q2,Mizoram,10422,0,0.0
2018,Q2,Chhattisgarh,950675,0,0.0
2018,Q2,Jammu & Kashmir,261609,0,0.0
2018,Q2,Goa,122174,0,0.0
2018,Q2,Arunachal Pradesh,32883,0,0.0
2018,Q2,Delhi,2756141,0,0.0
2018,Q2,Uttarakhand,649142,0,0.0
2018,Q3,Puducherry,81546,0,0.0
2018,Q3,Tamil Nadu,3900177,0,0.0
2018,Q3,Uttar Pradesh,8096483,0,0.0
2018,Q3,Madhya Pradesh,4309309,0,0.0
2018,Q3,Andhra Pradesh,5427617,0,0.0
2018,Q3,Tripura,116874,0,0.0
2018,Q3,Lakshadweep,918,0,0.0
2018,Q3,Manipur,61935,0,0.0
2018,Q3,Maharashtra,10435033,0,0.0
2018,Q3,Dadra & Nagar Haveli & Daman & Diu,92107,0,0.0
2018,Q3,Meghalaya,37281,0,0.0
2018,Q3,Andaman & Nicobar Islands,12149,0,0.0
2018,Q3,Haryana,3020398,0,0.0
2018,Q3,Rajasthan,5175453,0,0.0
2018,Q3,Ladakh,17749,0,0.0
2018,Q3,Punjab,1473148,0,0.0
2018,Q3,Assam,784802,0,0.0
