Year,Quarter,State,District,Registered Users,App Opens,Average Opens
2018,Q1,Andaman & Nicobar Islands,North And Middle Andaman,632,0,0.0
2018,Q1,Andaman & Nicobar Islands,South Andaman,5846,0,0.0
2018,Q1,Andaman & Nicobar Islands,Nicobars,262,0,0.0
2018,Q2,Andaman & Nicobar Islands,North And Middle Andaman,911,0,0.0
2018,Q2,Andaman & Nicobar Islands,South Andaman,8143,0,0.0
2018,Q2,Andaman & Nicobar Islands,Nicobars,351,0,0.0
2018,Q3,Andaman & Nicobar Islands,North And Middle Andaman,1208,0,0.0
2018,Q3,Andaman & Nicobar Islands,South Andaman,10474,0,0.0
2018,Q3,Andaman & Nicobar Islands,Nicobars,467,0,0.0
2018,Q4,Andaman & Nicobar Islands,North And Middle Andaman,1553,0,0.0
2018,Q4,Andaman & Nicobar Islands,South Andaman,13133,0,0.0
2018,Q4,Andaman & Nicobar Islands,Nicobars,536,0,0.0
2019,Q1,Andaman & Nicobar Islands,North And Middle Andaman,2013,0,0.0
2019,Q1,Andaman & Nicobar Islands,South Andaman,15961,0,0.0
2019,Q1,Andaman & Nicobar Islands,Nicobars,622,0,0.0
2019,Q2,Andaman & Nicobar Islands,North And Middle Andaman,2417,6118,2.5312370707488623
2019,Q2,Andaman & Nicobar Islands,South Andaman,18621,43569,2.3397776703721607
2019,Q2,Andaman & Nicobar Islands,Nicobars,693,2953,4.261183261183261
2019,Q3,Andaman & Nicobar Islands,North And Middle Andaman,2662,22064,8.288504883546207
2019,Q3,Andaman & Nicobar Islands,South Andaman,20518,138190,6.73506189687104
2019,Q3,Andaman & Nicobar Islands,Nicobars,751,10853,14.451398135818907
2019,Q4,Andaman & Nicobar Islands,North And Middle Andaman,2955,26253,8.884263959390863
2019,Q4,Andaman & Nicobar Islands,South Andaman,22202,139646,6.289793712278173
2019,Q4,Andaman & Nicobar Islands,Nicobars,803,11113,13.839352428393525
2020,Q1,Andaman & Nicobar Islands,North And Middle Andaman,3315,30444,9.183710407239818
2020,Q1,Andaman & Nicobar Islands,South Andaman,24174,151529,6.268263423512865
2020,Q1,Andaman & Nicobar Islands,Nicobars,879,11613,13.211604095563139
2020,Q2,Andaman & Nicobar Islands,North And Middle Andaman,4100,56992,13.900487804878049
2020,Q2,Andaman & Nicobar Islands,South Andaman,27626,231071,8.364258307391587
2020,Q2,Andaman & Nicobar Islands,Nicobars,984,17009,17.285569105691057
2020,Q3,Andaman & Nicobar Islands,North And Middle Andaman,5355,76553,14.29561157796452
2020,Q3,Andaman & Nicobar Islands,South Andaman,34833,417785,11.993942525765798
2020,Q3,Andaman & Nicobar Islands,Nicobars,1147,21227,18.506538796861378
2020,Q4,Andaman & Nicobar Islands,North And Middle Andaman,7076,125915,17.79465799886942
2020,Q4,Andaman & Nicobar Islands,South Andaman,43908,725321,16.519108135191765
2020,Q4,Andaman & Nicobar Islands,Nicobars,1412,35972,25.475920679886684
2021,Q1,Andaman & Nicobar Islands,North And Middle Andaman,7833,121680,15.534278054385293
2021,Q1,Andaman & Nicobar Islands,South Andaman,48352,837589,17.322737425545995
2021,Q1,Andaman & Nicobar Islands,Nicobars,1573,45067,28.65034965034965
2021,Q2,Andaman & Nicobar Islands,North And Middle Andaman,8493,596182,70.19686800894854
2021,Q2,Andaman & Nicobar Islands,South Andaman,51903,1270226,24.473074774097835
2021,Q2,Andaman & Nicobar Islands,Nicobars,1699,381815,224.72925250147145
2021,Q3,Andaman & Nicobar Islands,North And Middle Andaman,9263,759314,81.9727949908237
2021,Q3,Andaman & Nicobar Islands,South Andaman,55873,1771107,31.698799062158823
2021,Q3,Andaman & Nicobar Islands,Nicobars,1846,591204,320.2621885157096
2021,Q4,Andaman & Nicobar Islands,North And Middle Andaman,10002,171921,17.18866226754649
2021,Q4,Andaman & Nicobar Islands,South Andaman,59807,1863037,31.150818466065846
2021,Q4,Andaman & Nicobar Islands,Nicobars,1971,77952,39.54946727549467
2022,Q1,Andaman & Nicobar Islands,North And Middle Andaman,10720,904869,84.40942164179104
2022,Q1,Andaman & Nicobar Islands,South Andaman,63487,2368756,37.310882542882794
2022,Q1,Andaman & Nicobar Islands,Nicobars,2081,573782,275.7241710716002
2022,Q2,Andaman & Nicobar Islands,North And Middle Andaman,11379,963824,84.70199490289129
2022,Q2,Andaman & Nicobar Islands,South Andaman,66959,3404740,50.84813094580266
2022,Q2,Andaman & Nicobar Islands,Nicobars,2192,811449,370.1865875912409
2022,Q3,Andaman & Nicobar Islands,North And Middle Andaman,11897,1176567,98.8961082625872
2022,Q3,Andaman & Nicobar Islands,South Andaman,70445,3607286,51.20712612676556
2022,Q3,Andaman & Nicobar Islands,Nicobars,2300,1284501,558.4786956521739
