Year,Quarter,State,Count,Amount,Average Transaction
2020,Q2,Puducherry,112,22251.0,198.66964285714286
2020,Q2,Tamil Nadu,5473,1075552.0,196.51964187831172
2020,Q2,Uttar Pradesh,9884,1912266.0,193.47086199919062
2020,Q2,Madhya Pradesh,6283,1198701.0,190.78481617061914
2020,Q2,Andhra Pradesh,22104,3982391.0,180.16607853782122
2020,Q2,Tripura,88,22054.0,250.61363636363637
2020,Q2,Manipur,55,12554.0,228.25454545454545
2020,Q2,Maharashtra,39836,6879717.0,172.70099909629482
2020,Q2,Dadra & Nagar Haveli & Daman & Diu,651,101029.0,155.1904761904762
2020,Q2,Meghalaya,41,8829.0,215.34146341463415
2020,Q2,Andaman & Nicobar Islands,6,1360.0,226.66666666666666
2020,Q2,Haryana,6321,1179814.0,186.6498971681696
2020,Q2,Rajasthan,5373,1095933.0,203.97040759352316
2020,Q2,Ladakh,14,2538.0,181.28571428571428
2020,Q2,Punjab,2036,399452.0,196.19449901768172
2020,Q2,Assam,978,210034.0,214.75869120654397
2020,Q2,Jharkhand,2063,405031.0,196.33107125545322
2020,Q2,Odisha,2981,615193.0,206.37135189533714
2020,Q2,Bihar,2816,595621.0,211.51313920454547
2020,Q2,Kerala,1588,360216.0,226.83627204030228
2020,Q2,Karnataka,27358,4794150.0,175.2375904671394
2020,Q2,Chandigarh,149,29537.0,198.23489932885906
2020,Q2,Telangana,19003,3419453.0,179.94279850549913
2020,Q2,Himachal Pradesh,392,77936.0,198.81632653061226
2020,Q2,West Bengal,7619,1432764.0,188.05145032156452
2020,Q2,Gujarat,7697,1430591.0,185.86345329349098
2020,Q2,Sikkim,21,4789.0,228.04761904761904
2020,Q2,Nagaland,41,9791.0,238.8048780487805
2020,Q2,Mizoram,31,7322.0,236.19354838709677
2020,Q2,Chhattisgarh,1346,279005.0,207.28454680534918
2020,Q2,Jammu & Kashmir,206,48484.0,235.35922330097088
2020,Q2,Goa,341,71100.0,208.50439882697947
2020,Q2,Arunachal Pradesh,65,14329.0,220.44615384615383
2020,Q2,Delhi,11716,1897480.0,161.9562990781837
2020,Q2,Uttarakhand,660,134899.0,204.39242424242425
2020,Q3,Puducherry,191,58399.0,305.75392670157066
2020,Q3,Tamil Nadu,8026,2257373.0,281.25753800149516
2020,Q3,Uttar Pradesh,18131,4436969.0,244.71727979703272
2020,Q3,Madhya Pradesh,14476,3496126.0,241.51188173528598
2020,Q3,Andhra Pradesh,49812,12426481.0,249.4676182445997
2020,Q3,Tripura,249,61642.0,247.5582329317269
2020,Q3,Lakshadweep,4,1199.0,299.75
2020,Q3,Manipur,134,45164.0,337.04477611940297
2020,Q3,Maharashtra,71662,19230156.0,268.34523178253465
2020,Q3,Dadra & Nagar Haveli & Daman & Diu,257,65504.0,254.87937743190662
2020,Q3,Meghalaya,112,33615.0,300.13392857142856
2020,Q3,Andaman & Nicobar Islands,41,15380.0,375.1219512195122
2020,Q3,Haryana,7139,1884868.0,264.0240930102255
2020,Q3,Rajasthan,15235,3758527.0,246.7034460124713
2020,Q3,Ladakh,33,10260.0,310.90909090909093
2020,Q3,Punjab,2488,684753.0,275.22226688102893
2020,Q3,Assam,2206,599450.0,271.73617407071623
2020,Q3,Jharkhand,5368,1349934.0,251.4780178837556
2020,Q3,Odisha,10955,2640191.0,241.00328617069832
2020,Q3,Bihar,9733,2161102.0,222.0386314599815
2020,Q3,Kerala,8811,2830361.0,321.23039382589945
2020,Q3,Karnataka,53701,12407394.0,231.04586506768962
2020,Q3,Chandigarh,264,70969.0,268.8219696969697
2020,Q3,Telangana,34395,8406543.0,244.41177496729176
2020,Q3,Himachal Pradesh,531,165559.0,311.78719397363466
2020,Q3,West Bengal,12596,2878482.0,228.5234995236583
2020,Q3,Gujarat,12525,3335812.0,266.33229540918165
2020,Q3,Sikkim,94,28000.0,297.8723404255319
2020,Q3,Nagaland,89,20798.0,233.68539325842696
2020,Q3,Mizoram,74,24691.0,333.6621621621622
2020,Q3,Chhattisgarh,4702,1393656.0,296.3964270523182
2020,Q3,Jammu & Kashmir,441,133339.0,302.35600907029476
2020,Q3,Goa,683,196864.0,288.2342606149341
2020,Q3,Arunachal Pradesh,135,39687.0,293.97777777777776
2020,Q3,Delhi,7588,1927285.0,253.99117026884554
2020,Q3,Uttarakhand,1403,418543.0,298.320028510335
2020,Q4,Puducherry,234,197955.0,845.9615384615385
2020,Q4,Tamil Nadu,10290,8993575.0,874.011175898931
2020,Q4,Uttar Pradesh,17470,14180417.0,811.7010303377218
2020,Q4,Madhya Pradesh,10653,4897124.0,459.69435839669575
2020,Q4,Andhra Pradesh,21464,12985632.0,604.9959001118151
2020,Q4,Tripura,244,149765.0,613.7909836065573
2020,Q4,Manipur,90,49057.0,545.0777777777778
2020,Q4,Maharashtra,44798,27113814.0,605.2460824143935
2020,Q4,Dadra & Nagar Haveli & Daman & Diu,232,149513.0,644.4525862068965
2020,Q4,Meghalaya,92,71029.0,772.054347826087
2020,Q4,Andaman & Nicobar Islands,124,157975.0,1273.991935483871
2020,Q4,Haryana,8283,5974278.0,721.2698297718218
2020,Q4,Rajasthan,12509,6471573.0,517.3533455911744
2020,Q4,Ladakh,27,34206.0,1266.888888888889
2020,Q4,Punjab,2451,1884291.0,768.7845777233782
2020,Q4,Assam,2413,1806801.0,748.7778698715292
2020,Q4,Jharkhand,3659,2857024.0,780.8209893413501
2020,Q4,Odisha,7526,4208701.0,559.2214988041457
2020,Q4,Bihar,9913,7860932.0,792.992232422072
2020,Q4,Kerala,5479,4445525.0,811.3752509582041
2020,Q4,Karnataka,31747,26814968.0,844.6457303052257
2020,Q4,Chandigarh,200,153341.0,766.705
2020,Q4,Telangana,20961,11339099.0,540.9617384666763
2020,Q4,Himachal Pradesh,710,630966.0,888.6845070422535
2020,Q4,West Bengal,10233,7510455.0,733.9445910290237
2020,Q4,Gujarat,9990,6055037.0,606.1098098098098
2020,Q4,Sikkim,67,70214.0,1047.9701492537313
2020,Q4,Nagaland,62,38836.0,626.3870967741935
2020,Q4,Mizoram,81,119124.0,1470.6666666666667
2020,Q4,Chhattisgarh,3757,2249901.0,598.8557359595422
2020,Q4,Jammu & Kashmir,647,734861.0,1135.7975270479135
2020,Q4,Goa,614,682364.0,1111.342019543974
2020,Q4,Arunachal Pradesh,125,84247.0,673.976
2020,Q4,Delhi,9725,8045442.0,827.2948071979434
2020,Q4,Uttarakhand,1756,1961891.0,1117.25
2021,Q1,Puducherry,372,351827.0,945.7715053763441
2021,Q1,Tamil Nadu,14406,11180849.0,776.1244620297099
2021,Q1,Uttar Pradesh,24103,18027573.0,747.9389702526656
2021,Q1,Madhya Pradesh,14427,5567927.0,385.9379635405836
2021,Q1,Andhra Pradesh,22105,12749874.0,576.7868807962
2021,Q1,Tripura,360,191531.0,532.0305555555556
2021,Q1,Lakshadweep,4,5225.0,1306.25
2021,Q1,Manipur,136,72254.0,531.2794117647059
2021,Q1,Maharashtra,55792,33137753.0,593.9516955835962
2021,Q1,Dadra & Nagar Haveli & Daman & Diu,467,285691.0,611.7580299785867
2021,Q1,Meghalaya,107,128776.0,1203.5140186915887
2021,Q1,Andaman & Nicobar Islands,225,244266.0,1085.6266666666668
2021,Q1,Haryana,11038,7297880.0,661.1596303678202
2021,Q1,Rajasthan,17800,8074225.0,453.6081460674157
2021,Q1,Ladakh,32,34530.0,1079.0625
2021,Q1,Punjab,3783,2558380.0,676.283372984404
2021,Q1,Assam,3167,2334419.0,737.1073571203032
2021,Q1,Jharkhand,4879,3274851.0,671.2135683541709
2021,Q1,Odisha,8236,4383330.0,532.2158814958718
2021,Q1,Bihar,12554,8796619.0,700.702485263661
2021,Q1,Kerala,5731,5040506.0,879.5159658000349
2021,Q1,Karnataka,37595,30183325.0,802.8547679212661
2021,Q1,Chandigarh,338,238576.0,705.8461538461538
2021,Q1,Telangana,28298,14810947.0,523.3920065022263
2021,Q1,Himachal Pradesh,1064,906492.0,851.9661654135339
2021,Q1,West Bengal,15488,11172042.0,721.3353564049587
2021,Q1,Gujarat,12673,7288104.0,575.0890870354297
2021,Q1,Sikkim,122,111777.0,916.2049180327868
