State,District,Year,Quarter,Count,Amount,Average Transaction
Andaman & Nicobar Islands,South Andaman,2020,Q2,3,795.0,265.0
Andaman & Nicobar Islands,Nicobars,2020,Q2,3,565.0,188.33333333333334
Andaman & Nicobar Islands,North And Middle Andaman,2020,Q3,1,281.0,281.0
Andaman & Nicobar Islands,South Andaman,2020,Q3,35,13651.0,390.0285714285714
Andaman & Nicobar Islands,Nicobars,2020,Q3,5,1448.0,289.6
Andaman & Nicobar Islands,North And Middle Andaman,2020,Q4,13,17734.0,1364.1538461538462
Andaman & Nicobar Islands,South Andaman,2020,Q4,109,137494.0,1261.4128440366972
Andaman & Nicobar Islands,Nicobars,2020,Q4,2,2747.0,1373.5
Andaman & Nicobar Islands,North And Middle Andaman,2021,Q1,48,63978.0,1332.875
Andaman & Nicobar Islands,South Andaman,2021,Q1,164,167044.0,1018.560975609756
Andaman & Nicobar Islands,Nicobars,2021,Q1,13,13244.0,1018.7692307692307
Andaman & Nicobar Islands,North And Middle Andaman,2021,Q2,28,45311.0,1618.25
Andaman & Nicobar Islands,South Andaman,2021,Q2,105,121104.0,1153.3714285714286
Andaman & Nicobar Islands,Nicobars,2021,Q2,4,15089.0,3772.25
Andaman & Nicobar Islands,North And Middle Andaman,2021,Q3,33,50997.0,1545.3636363636363
Andaman & Nicobar Islands,South Andaman,2021,Q3,182,223699.0,1229.1153846153845
Andaman & Nicobar Islands,Nicobars,2021,Q3,15,30539.0,2035.9333333333334
Andaman & Nicobar Islands,North And Middle Andaman,2021,Q4,81,182061.0,2247.6666666666665
Andaman & Nicobar Islands,South Andaman,2021,Q4,632,800758.0,1267.0221518987341
Andaman & Nicobar Islands,Nicobars,2021,Q4,44,73561.0,1671.840909090909
Andaman & Nicobar Islands,North And Middle Andaman,2022,Q1,48,85229.0,1775.6041666666667
Andaman & Nicobar Islands,South Andaman,2022,Q1,692,982206.0,1419.3728323699422
Andaman & Nicobar Islands,Nicobars,2022,Q1,28,63852.0,2280.4285714285716
Andaman & Nicobar Islands,North And Middle Andaman,2022,Q2,45,90403.0,2008.9555555555555
Andaman & Nicobar Islands,South Andaman,2022,Q2,430,633029.0,1472.160465116279
Andaman & Nicobar Islands,Nicobars,2022,Q2,26,56308.0,2165.6923076923076
Andaman & Nicobar Islands,North And Middle Andaman,2022,Q3,70,129013.0,1843.0428571428572
Andaman & Nicobar Islands,South Andaman,2022,Q3,535,687813.0,1285.6317757009347
Andaman & Nicobar Islands,Nicobars,2022,Q3,38,85640.0,2253.684210526316
Andaman & Nicobar Islands,North And Middle Andaman,2022,Q4,112,224198.0,2001.767857142857
Andaman & Nicobar Islands,South Andaman,2022,Q4,750,1114857.0,1486.476
Andaman & Nicobar Islands,Nicobars,2022,Q4,39,102155.0,2619.358974358974
Andaman & Nicobar Islands,North And Middle Andaman,2023,Q1,85,178969.0,2105.5176470588235
Andaman & Nicobar Islands,South Andaman,2023,Q1,872,1172083.0,1344.1318807339449
Andaman & Nicobar Islands,Nicobars,2023,Q1,47,88146.0,1875.4468085106382
Andaman & Nicobar Islands,North And Middle Andaman,2023,Q2,56,109742.0,1959.6785714285713
Andaman & Nicobar Islands,South Andaman,2023,Q2,670,1060976.0,1583.5462686567164
Andaman & Nicobar Islands,Nicobars,2023,Q2,42,62677.0,1492.3095238095239
Andaman & Nicobar Islands,North And Middle Andaman,2023,Q3,77,133536.0,1734.2337662337663
Andaman & Nicobar Islands,South Andaman,2023,Q3,682,1052324.0,1542.9970674486804
Andaman & Nicobar Islands,Nicobars,2023,Q3,36,65285.0,1813.4722222222222
Andaman & Nicobar Islands,North And Middle Andaman,2023,Q4,95,156995.0,1652.578947368421
Andaman & Nicobar Islands,South Andaman,2023,Q4,1006,1504528.0,1495.5546719681909
Andaman & Nicobar Islands,Nicobars,2023,Q4,44,96298.0,2188.590909090909
Andhra Pradesh,East Godavari,2020,Q2,1913,352220.0,184.11918452692106
