Year,Quarter,State,Count,Amount,Average Transaction
2018,Q1,Puducherry,104212,165825971.36983618,1591.2368188868477
2018,Q1,Tamil Nadu,6726622,11261557697.516891,1674.177276130113
2018,Q1,Uttar Pradesh,12537805,13939970923.223106,1111.8350399629844
2018,Q1,Madhya Pradesh,8025395,8681603403.446348,1081.766492919831
2018,Q1,Andhra Pradesh,9039585,11996276391.823706,1327.0826472480435
2018,Q1,Tripura,148157,137978914.53062224,931.30202778554
2018,Q1,Lakshadweep,778,1928611.1808777403,2478.93467979144
2018,Q1,Manipur,84069,128046173.93020926,1523.108088953232
2018,Q1,Maharashtra,16387034,21711613257.725674,1324.9263568822566
2018,Q1,Dadra & Nagar Haveli & Daman & Diu,148549,175658384.10921687,1182.4945580866708
2018,Q1,Meghalaya,49571,66250259.78990036,1336.4721266446181
2018,Q1,Andaman & Nicobar Islands,6658,14631761.22198579,2197.6210907157993
2018,Q1,Haryana,4480770,6793511514.660528,1516.1482322593054
2018,Q1,Rajasthan,7591690,8926293130.726837,1175.7978962163677
2018,Q1,Ladakh,6089,12532857.771114783,2058.2784974732767
2018,Q1,Punjab,1870433,2780758224.854389,1486.6922390988552
2018,Q1,Assam,1056881,1157804456.212469,1095.4917878289696
2018,Q1,Jharkhand,2178921,2374186389.9194,1089.6156354082595
2018,Q1,Odisha,5809821,4627632210.887628,796.518896345968
2018,Q1,Bihar,5824302,6045758172.017314,1038.022783162225
2018,Q1,Kerala,1771380,2402674753.100502,1356.3858421685363
2018,Q1,Karnataka,12016899,19217895314.012802,1599.2391476380722
2018,Q1,Chandigarh,381895,613435420.8676233,1606.293407527261
2018,Q1,Telangana,8522766,13308204118.542435,1561.4888545036242
2018,Q1,Himachal Pradesh,481918,628737806.3723404,1304.6572370659333
2018,Q1,West Bengal,11710225,10625978552.140453,907.4102805147171
2018,Q1,Gujarat,5948775,7577982255.034092,1273.8727309461347
2018,Q1,Sikkim,44078,64650938.94036834,1466.73939244903
2018,Q1,Nagaland,42845,78005891.08612517,1820.6533104475473
2018,Q1,Mizoram,18561,45227219.975790836,2436.680134464244
2018,Q1,Chhattisgarh,1891514,2149155557.2367463,1136.209172777334
2018,Q1,Jammu & Kashmir,941568,1005371239.2561305,1067.7627524046384
2018,Q1,Goa,160897,303856742.34308386,1888.5171404257621
2018,Q1,Arunachal Pradesh,45497,92387336.00940911,2030.6247886543972
2018,Q1,Delhi,7122754,11211503806.91996,1574.0405757267429
2018,Q1,Uttarakhand,1246685,1508545358.5238864,1210.0453270263831
2018,Q2,Puducherry,130261,285801119.5324367,2194.0651425402593
2018,Q2,Tamil Nadu,9992128,20125844276.267662,2014.169982236783
2018,Q2,Uttar Pradesh,17710943,25720201695.701435,1452.2209063459486
2018,Q2,Madhya Pradesh,10561412,15924081066.680986,1507.7606163532855
2018,Q2,Andhra Pradesh,12353918,22883914272.633617,1852.3608682390168
2018,Q2,Tripura,214559,236891718.7161358,1104.0866088867667
2018,Q2,Lakshadweep,2132,6187809.539400538,2902.3496901503463
2018,Q2,Manipur,151721,253209721.319494,1668.9167703844162
2018,Q2,Maharashtra,22285740,36357057241.12254,1631.4045322759102
2018,Q2,Dadra & Nagar Haveli & Daman & Diu,202626,302070771.6561514,1490.779917957969
2018,Q2,Meghalaya,67857,117004667.8418316,1724.2829456331933
2018,Q2,Andaman & Nicobar Islands,11340,28338535.507953547,2498.9890218653923
2018,Q2,Haryana,6150931,11320414442.116663,1840.4391858918045
2018,Q2,Rajasthan,9973697,15559086175.75962,1560.0119169210395
2018,Q2,Ladakh,15010,47334902.5377415,3153.557797317888
2018,Q2,Punjab,2581163,4684672212.007125,1814.946290492745
2018,Q2,Assam,1663873,2350585135.537811,1412.7190810463364
2018,Q2,Jharkhand,3152080,4721575659.062912,1497.923802398071
2018,Q2,Odisha,8158144,8488310339.620239,1040.4707663434526
2018,Q2,Bihar,8632378,13506131109.672922,1564.589862685916
2018,Q2,Kerala,2308165,3886923343.44263,1683.9885118449633
2018,Q2,Karnataka,17116447,33515580081.29709,1958.0921251529064
2018,Q2,Chandigarh,479084,961223261.74473,2006.3772986464378
2018,Q2,Telangana,10764670,23017201517.652737,2138.217104440056
2018,Q2,Himachal Pradesh,687695,1183169301.3511178,1720.4855369765926
2018,Q2,West Bengal,18082446,18629183470.204285,1030.2358137944548
2018,Q2,Gujarat,7745733,12162684771.641388,1570.24322574008
2018,Q2,Sikkim,74578,143693085.52979562,1926.7489813322377
2018,Q2,Nagaland,65599,153325577.88030174,2337.315780428082
2018,Q2,Mizoram,27051,83508405.55773437,3087.07277208733
2018,Q2,Chhattisgarh,2816156,4264170443.1617327,1514.1811899488994
2018,Q2,Jammu & Kashmir,1796326,2651206236.5028934,1475.9048393793184
2018,Q2,Goa,229575,478603825.35861486,2084.738431269149
2018,Q2,Arunachal Pradesh,82157,198970192.34204656,2421.828844067414
2018,Q2,Delhi,9373723,17446299902.205147,1861.1921754254042
2018,Q2,Uttarakhand,1704122,2679755378.5510764,1572.5138097806825
2018,Q3,Puducherry,190271,417658075.4942067,2195.069535001165
2018,Q3,Tamil Nadu,15774078,29330092241.18405,1859.3855210544828
2018,Q3,Uttar Pradesh,26515356,37012114369.23937,1395.8746912256947
2018,Q3,Madhya Pradesh,17126985,24149742204.67322,1410.0404831716278
2018,Q3,Andhra Pradesh,25626061,35718044599.21416,1393.8172003576422
2018,Q3,Tripura,377703,453863388.04059243,1201.6409402112042
2018,Q3,Lakshadweep,1703,4339032.3119858485,2547.875696996975
