State,District,Year,Quarter,Count,Amount,Average Transaction
Andaman & Nicobar Islands,North And Middle Andaman,2018,Q1,442,931663.0770939873,2107.835016049745
Andaman & Nicobar Islands,South Andaman,2018,Q1,5688,12560249.34366581,2208.201361403975
Andaman & Nicobar Islands,Nicobars,2018,Q1,528,1139848.801225994,2158.804547776504
Andaman & Nicobar Islands,North And Middle Andaman,2018,Q2,825,1317863.0834906558,1597.4097981704917
Andaman & Nicobar Islands,South Andaman,2018,Q2,9395,23948235.51634325,2549.040502005668
Andaman & Nicobar Islands,Nicobars,2018,Q2,1120,3072436.9081196385,2743.2472393925345
Andaman & Nicobar Islands,North And Middle Andaman,2018,Q3,1283,4901529.518499676,3820.3659536240657
Andaman & Nicobar Islands,South Andaman,2018,Q3,13511,44268112.46425246,3276.449742006695
Andaman & Nicobar Islands,Nicobars,2018,Q3,1471,6387829.151558982,4342.507920842272
Andaman & Nicobar Islands,North And Middle Andaman,2018,Q4,2137,7955635.917688001,3722.8057640093593
Andaman & Nicobar Islands,South Andaman,2018,Q4,20136,75411840.8018554,3745.1251888088696
Andaman & Nicobar Islands,Nicobars,2018,Q4,1485,7180859.354911782,4835.595525193119
Andaman & Nicobar Islands,North And Middle Andaman,2019,Q1,3264,9561708.736298349,2929.445078522778
Andaman & Nicobar Islands,South Andaman,2019,Q1,25683,85501972.38780196,3329.1271419928344
Andaman & Nicobar Islands,Nicobars,2019,Q1,1539,7236059.549389593,4701.7930795254015
Andaman & Nicobar Islands,North And Middle Andaman,2019,Q2,3371,8612103.137888122,2554.762129305287
Andaman & Nicobar Islands,South Andaman,2019,Q2,28490,102530955.71341258,3598.840144380926
Andaman & Nicobar Islands,Nicobars,2019,Q2,1828,9111650.82436246,4984.491698228917
Andaman & Nicobar Islands,North And Middle Andaman,2019,Q3,4049,11481466.283356793,2835.6301020886126
Andaman & Nicobar Islands,South Andaman,2019,Q3,27421,91023888.32848613,3319.4955810687475
Andaman & Nicobar Islands,Nicobars,2019,Q3,2300,11566421.475451011,5028.878902370005
Andaman & Nicobar Islands,North And Middle Andaman,2019,Q4,4716,13524056.784573946,2867.6965192056714
Andaman & Nicobar Islands,South Andaman,2019,Q4,27843,110930312.20611623,3984.1364869488284
Andaman & Nicobar Islands,Nicobars,2019,Q4,2600,12384161.52668771,4763.139048726042
Andaman & Nicobar Islands,North And Middle Andaman,2020,Q1,5674,14697371.617857102,2590.301659826772
Andaman & Nicobar Islands,South Andaman,2020,Q1,32713,134679396.90582755,4116.999263467966
Andaman & Nicobar Islands,Nicobars,2020,Q1,2911,12099543.773590054,4156.490475297167
Andaman & Nicobar Islands,North And Middle Andaman,2020,Q2,10979,22447714.061058953,2044.6046143600468
Andaman & Nicobar Islands,South Andaman,2020,Q2,48088,132855778.74838585,2762.763657219802
Andaman & Nicobar Islands,Nicobars,2020,Q2,3895,14341508.60470232,3682.0304505012373
Andaman & Nicobar Islands,North And Middle Andaman,2020,Q3,16747,33486883.370425556,1999.575050482209
Andaman & Nicobar Islands,South Andaman,2020,Q3,95323,282366109.20523936,2962.2033423752855
Andaman & Nicobar Islands,Nicobars,2020,Q3,5413,22166453.754695386,4095.040412838608
Andaman & Nicobar Islands,North And Middle Andaman,2020,Q4,29349,68941322.38839513,2349.0177651161925
Andaman & Nicobar Islands,South Andaman,2020,Q4,186494,523122462.88302904,2805.0364241371253
Andaman & Nicobar Islands,Nicobars,2020,Q4,8688,35218871.04342849,4053.737458958159
Andaman & Nicobar Islands,North And Middle Andaman,2021,Q1,27358,75027255.27919498,2742.4247123033474
Andaman & Nicobar Islands,South Andaman,2021,Q1,207092,669604045.1248703,3233.3650992064895
Andaman & Nicobar Islands,Nicobars,2021,Q1,10302,39075266.9856904,3792.9787406028345
Andaman & Nicobar Islands,North And Middle Andaman,2021,Q2,39200,90233388.79463302,2301.8721631283934
Andaman & Nicobar Islands,South Andaman,2021,Q2,286907,760893020.5704944,2652.054570193458
Andaman & Nicobar Islands,Nicobars,2021,Q2,15307,48020606.74716837,3137.1664432722528
Andaman & Nicobar Islands,North And Middle Andaman,2021,Q3,46592,118254865.82750683,2538.0937892236184
Andaman & Nicobar Islands,South Andaman,2021,Q3,382418,1116789010.6459613,2920.3358906901904
Andaman & Nicobar Islands,Nicobars,2021,Q3,20754,74980519.3281361,3612.822556043948
Andaman & Nicobar Islands,North And Middle Andaman,2021,Q4,53115,156486112.28732437,2946.1755113870727
Andaman & Nicobar Islands,South Andaman,2021,Q4,558571,1694794708.0093334,3034.161651803143
Andaman & Nicobar Islands,Nicobars,2021,Q4,24437,81329281.0269996,3328.120515079576
Andaman & Nicobar Islands,North And Middle Andaman,2022,Q1,60059,161624878.52274162,2691.1017253491004
Andaman & Nicobar Islands,South Andaman,2022,Q1,705512,1872991195.902684,2654.7970777289174
Andaman & Nicobar Islands,Nicobars,2022,Q1,29177,94414127.64974089,3235.9093686719298
Andaman & Nicobar Islands,North And Middle Andaman,2022,Q2,72573,195693167.78757268,2696.501009846261
Andaman & Nicobar Islands,South Andaman,2022,Q2,954875,2357326563.362071,2468.727910315037
Andaman & Nicobar Islands,Nicobars,2022,Q2,43769,132900618.93062323,3036.409763317033
Andaman & Nicobar Islands,North And Middle Andaman,2022,Q3,79574,211581970.34202656,2658.9334498960284
Andaman & Nicobar Islands,South Andaman,2022,Q3,1455255,2967719400.849909,2039.312286059769
Andaman & Nicobar Islands,Nicobars,2022,Q3,49550,131330400.94545083,2650.4621785156573
Andaman & Nicobar Islands,North And Middle Andaman,2022,Q4,93297,241431284.3558103,2587.7711432930355
Andaman & Nicobar Islands,South Andaman,2022,Q4,1835592,3600887266.099448,1961.7035082411821
Andaman & Nicobar Islands,Nicobars,2022,Q4,58646,142355853.97352526,2427.3753363149276
Andaman & Nicobar Islands,North And Middle Andaman,2023,Q1,152187,392080332.0,2576.3063336553055
Andaman & Nicobar Islands,South Andaman,2023,Q1,2030078,3867385426.0,1905.0427747111194
Andaman & Nicobar Islands,Nicobars,2023,Q1,94127,202062829.0,2146.704229392204
Andaman & Nicobar Islands,North And Middle Andaman,2023,Q2,181149,462414675.0,2552.6758359140817
Andaman & Nicobar Islands,South Andaman,2023,Q2,2417058,4297737197.0,1778.086085232543
Andaman & Nicobar Islands,Nicobars,2023,Q2,109568,230192364.0,2100.908695969626
Andaman & Nicobar Islands,North And Middle Andaman,2023,Q3,198547,495623030.0,2496.250409223005
Andaman & Nicobar Islands,South Andaman,2023,Q3,2771397,4462201588.0,1610.0910796973512
Andaman & Nicobar Islands,Nicobars,2023,Q3,128432,253772173.0,1975.9263501308085
Andaman & Nicobar Islands,North And Middle Andaman,2023,Q4,230234,540759631.0,2348.739243552212
Andaman & Nicobar Islands,South Andaman,2023,Q4,3311962,5417264997.0,1635.666410725727
Andaman & Nicobar Islands,Nicobars,2023,Q4,153587,311527871.0,2028.3479135603925
