Year,Quarter,State,District,Count,Amount,Average Transaction
2018,Q1,Andaman & Nicobar Islands,South Andaman,5688,12560249.343665812,2208.2013614039756
2018,Q1,Andaman & Nicobar Islands,Nicobars,528,1139848.801225994,2158.804547776504
2018,Q1,Andaman & Nicobar Islands,North And Middle Andaman,442,931663.0770939873,2107.835016049745
2018,Q2,Andaman & Nicobar Islands,South Andaman,9395,23948235.51634325,2549.040502005668
2018,Q2,Andaman & Nicobar Islands,Nicobars,1120,3072436.9081196385,2743.2472393925345
2018,Q2,Andaman & Nicobar Islands,North And Middle Andaman,825,1317863.0834906558,1597.4097981704917
2018,Q3,Andaman & Nicobar Islands,South Andaman,13511,44268112.46425246,3276.449742006695
2018,Q3,Andaman & Nicobar Islands,Nicobars,1471,6387829.151558982,4342.507920842272
2018,Q3,Andaman & Nicobar Islands,North And Middle Andaman,1283,4901529.518499676,3820.3659536240657
2018,Q4,Andaman & Nicobar Islands,South Andaman,20136,75411840.8018554,3745.1251888088696
2018,Q4,Andaman & Nicobar Islands,North And Middle Andaman,2137,7955635.917688001,3722.8057640093593
2018,Q4,Andaman & Nicobar Islands,Nicobars,1485,7180859.354911782,4835.595525193119
2019,Q1,Andaman & Nicobar Islands,South Andaman,25683,85501972.38780196,3329.1271419928344
2019,Q1,Andaman & Nicobar Islands,North And Middle Andaman,3264,9561708.736298349,2929.445078522778
2019,Q1,Andaman & Nicobar Islands,Nicobars,1539,7236059.549389593,4701.7930795254015
2019,Q2,Andaman & Nicobar Islands,South Andaman,28490,102530955.71341258,3598.840144380926
2019,Q2,Andaman & Nicobar Islands,North And Middle Andaman,3371,8612103.13788812,2554.7621293052866
2019,Q2,Andaman & Nicobar Islands,Nicobars,1828,9111650.82436246,4984.491698228917
2019,Q3,Andaman & Nicobar Islands,South Andaman,27421,91023888.32848613,3319.4955810687475
2019,Q3,Andaman & Nicobar Islands,North And Middle Andaman,4049,11481466.283356791,2835.630102088612
2019,Q3,Andaman & Nicobar Islands,Nicobars,2300,11566421.475451011,5028.878902370005
2019,Q4,Andaman & Nicobar Islands,South Andaman,27843,110930312.20611623,3984.1364869488284
2019,Q4,Andaman & Nicobar Islands,North And Middle Andaman,4716,13524056.784573946,2867.6965192056714
2019,Q4,Andaman & Nicobar Islands,Nicobars,2600,12384161.52668771,4763.139048726042
2020,Q1,Andaman & Nicobar Islands,South Andaman,32713,134679396.90582758,4116.999263467967
2020,Q1,Andaman & Nicobar Islands,North And Middle Andaman,5674,14697371.617857102,2590.301659826772
2020,Q1,Andaman & Nicobar Islands,Nicobars,2911,12099543.773590053,4156.490475297167
2020,Q2,Andaman & Nicobar Islands,South Andaman,48088,132855778.74838585,2762.763657219802
2020,Q2,Andaman & Nicobar Islands,North And Middle Andaman,10979,22447714.061058953,2044.6046143600468
2020,Q2,Andaman & Nicobar Islands,Nicobars,3895,14341508.60470232,3682.0304505012373
2020,Q3,Andaman & Nicobar Islands,South Andaman,95323,282366109.20523936,2962.2033423752855
2020,Q3,Andaman & Nicobar Islands,North And Middle Andaman,16747,33486883.37042556,1999.5750504822092
2020,Q3,Andaman & Nicobar Islands,Nicobars,5413,22166453.754695382,4095.0404128386076
2020,Q4,Andaman & Nicobar Islands,South Andaman,186494,523122462.883029,2805.036424137125
2020,Q4,Andaman & Nicobar Islands,North And Middle Andaman,29349,68941322.38839513,2349.0177651161925
2020,Q4,Andaman & Nicobar Islands,Nicobars,8688,35218871.04342848,4053.7374589581586
2021,Q1,Andaman & Nicobar Islands,South Andaman,207092,669604045.1248703,3233.3650992064895
2021,Q1,Andaman & Nicobar Islands,North And Middle Andaman,27358,75027255.27919498,2742.4247123033474
2021,Q1,Andaman & Nicobar Islands,Nicobars,10302,39075266.9856904,3792.9787406028345
2021,Q2,Andaman & Nicobar Islands,South Andaman,286907,760893020.5704947,2652.054570193459
2021,Q2,Andaman & Nicobar Islands,North And Middle Andaman,39200,90233388.79463303,2301.872163128394
2021,Q2,Andaman & Nicobar Islands,Nicobars,15307,48020606.74716838,3137.166443272253
2021,Q3,Andaman & Nicobar Islands,South Andaman,382418,1116789010.6459613,2920.3358906901904
2021,Q3,Andaman & Nicobar Islands,North And Middle Andaman,46592,118254865.82750683,2538.0937892236184
2021,Q3,Andaman & Nicobar Islands,Nicobars,20754,74980519.32813609,3612.8225560439473
2021,Q4,Andaman & Nicobar Islands,South Andaman,558571,1694794708.0093331,3034.1616518031424
2021,Q4,Andaman & Nicobar Islands,North And Middle Andaman,53115,156486112.28732437,2946.1755113870727
2021,Q4,Andaman & Nicobar Islands,Nicobars,24437,81329281.0269996,3328.120515079576
2022,Q1,Andaman & Nicobar Islands,South Andaman,705512,1872991195.902684,2654.7970777289174
2022,Q1,Andaman & Nicobar Islands,North And Middle Andaman,60059,161624878.52274162,2691.1017253491004
2022,Q1,Andaman & Nicobar Islands,Nicobars,29177,94414127.64974089,3235.9093686719298
2022,Q2,Andaman & Nicobar Islands,South Andaman,954875,2357326563.362071,2468.727910315037
2022,Q2,Andaman & Nicobar Islands,North And Middle Andaman,72573,195693167.78757268,2696.501009846261
2022,Q2,Andaman & Nicobar Islands,Nicobars,43769,132900618.93062323,3036.409763317033
2022,Q3,Andaman & Nicobar Islands,South Andaman,1455255,2967719400.8499093,2039.3122860597691
2022,Q3,Andaman & Nicobar Islands,North And Middle Andaman,79574,211581970.34202653,2658.933449896028
2022,Q3,Andaman & Nicobar Islands,Nicobars,49550,131330400.94545083,2650.4621785156573
2022,Q4,Andaman & Nicobar Islands,South Andaman,1835592,3600887266.099448,1961.7035082411821
2022,Q4,Andaman & Nicobar Islands,North And Middle Andaman,93297,241431284.35581034,2587.7711432930355
2022,Q4,Andaman & Nicobar Islands,Nicobars,58646,142355853.97352523,2427.375336314927
2023,Q1,Andaman & Nicobar Islands,South Andaman,2030078,3867385426.0,1905.0427747111194
2023,Q1,Andaman & Nicobar Islands,North And Middle Andaman,152187,392080332.0,2576.3063336553055
2023,Q1,Andaman & Nicobar Islands,Nicobars,94127,202062829.0,2146.704229392204
2023,Q2,Andaman & Nicobar Islands,South Andaman,2417058,4297737197.0,1778.086085232543
2023,Q2,Andaman & Nicobar Islands,North And Middle Andaman,181149,462414675.0,2552.6758359140817
2023,Q2,Andaman & Nicobar Islands,Nicobars,109568,230192364.0,2100.908695969626
2023,Q3,Andaman & Nicobar Islands,South Andaman,2771397,4462201588.0,1610.0910796973512
2023,Q3,Andaman & Nicobar Islands,North And Middle Andaman,198547,495623030.0,2496.250409223005
2023,Q3,Andaman & Nicobar Islands,Nicobars,128432,253772173.0,1975.9263501308085
2023,Q4,Andaman & Nicobar Islands,South Andaman,3311962,5417264997.0,1635.666410725727
2023,Q4,Andaman & Nicobar Islands,North And Middle Andaman,230234,540759631.0,2348.739243552212
2023,Q4,Andaman & Nicobar Islands,Nicobars,153587,311527871.0,2028.3479135603925
2018,Q1,Andhra Pradesh,Visakhapatnam,1256469,1749966196.5049949,1392.7651191593225
2018,Q1,Andhra Pradesh,East Godavari,943935,1235785515.5997267,1309.1849709987728
2018,Q1,Andhra Pradesh,Krishna,863935,1284255179.6156201,1486.51829086172
2018,Q1,Andhra Pradesh,Chittoor,830324,1009621878.0870512,1215.9372462882575
2018,Q1,Andhra Pradesh,Guntur,815932,1108686589.0266826,1358.7977785240469
2018,Q1,Andhra Pradesh,Kurnool,679623,764905298.7350456,1125.4847154011056
2018,Q1,Andhra Pradesh,Anantapur,638664,788830646.0324218,1235.126210389848
2018,Q1,Andhra Pradesh,West Godavari,577090,853547668.7532666,1479.054686016508
2018,Q1,Andhra Pradesh,Prakasam,534757,748990775.8676486,1400.6189276019736
2018,Q1,Andhra Pradesh,Spsr Nellore,531612,676643237.8069417,1272.8140783258123
2018,Q2,Andhra Pradesh,Visakhapatnam,1641192,2987853607.2939095,1820.5387348304828
2018,Q2,Andhra Pradesh,Krishna,1224987,2448141593.4919834,1998.5041420782288
2018,Q2,Andhra Pradesh,East Godavari,1221677,2168914928.4239016,1775.3587310098344
2018,Q2,Andhra Pradesh,Chittoor,1185723,1990419125.8937118,1678.6543955828738
2018,Q2,Andhra Pradesh,Guntur,1088101,2108475811.785997,1937.7574432759432
2018,Q2,Andhra Pradesh,Kurnool,968439,1531888665.6843233,1581.8122418493301
2018,Q2,Andhra Pradesh,Anantapur,937023,1690366079.0557928,1803.975013479704
2018,Q2,Andhra Pradesh,West Godavari,786033,1688025212.3045943,2147.524610677407
2018,Q2,Andhra Pradesh,Spsr Nellore,780454,1542057934.0108962,1975.8473068379383
2018,Q2,Andhra Pradesh,Prakasam,739991,1571167562.1276274,2123.2252312901473
2018,Q3,Andhra Pradesh,Visakhapatnam,3394576,4821892253.393524,1420.4696708494741
2018,Q3,Andhra Pradesh,East Godavari,3226907,3551247095.3074465,1100.5111381603022
2018,Q3,Andhra Pradesh,Kurnool,2921189,2908389261.5397735,995.6183121118742
2018,Q3,Andhra Pradesh,Krishna,2396934,3754202654.3844614,1566.251992914474
2018,Q3,Andhra Pradesh,Chittoor,2297429,3283517630.720593,1429.2139738466751
2018,Q3,Andhra Pradesh,Guntur,1912529,3127764663.180438,1635.4077052846978
2018,Q3,Andhra Pradesh,Anantapur,1815215,2681787750.464165,1477.3940004154688
2018,Q3,Andhra Pradesh,Ysr,1557444,2235904512.2542048,1435.6243385021899
2018,Q3,Andhra Pradesh,West Godavari,1431282,2309078492.805815,1613.293881153969
2018,Q3,Andhra Pradesh,Prakasam,1319651,2346453445.4838424,1778.086361836457
2018,Q4,Andhra Pradesh,Visakhapatnam,4791421,7366635864.849373,1537.4637012379778
2018,Q4,Andhra Pradesh,Chittoor,3166201,4979093890.223491,1572.5766905586509
2018,Q4,Andhra Pradesh,East Godavari,3052762,4652624623.436675,1524.0705379052397
2018,Q4,Andhra Pradesh,Krishna,2839161,5416251838.130407,1907.6945048661937
2018,Q4,Andhra Pradesh,Guntur,2546620,4730251217.696959,1857.4625258958772
2018,Q4,Andhra Pradesh,Kurnool,2508530,3626544852.4069242,1445.6852628459394
2018,Q4,Andhra Pradesh,Anantapur,2286391,3975878156.329829,1738.9318608802384
2018,Q4,Andhra Pradesh,Spsr Nellore,1814997,3293448556.973445,1814.5752069967305
2018,Q4,Andhra Pradesh,Ysr,1732527,3252340063.2478595,1877.2233063310757
2018,Q4,Andhra Pradesh,Prakasam,1692862,3255254226.03728,1922.9294685788211
2019,Q1,Andhra Pradesh,Visakhapatnam,9690866,13459857440.552685,1388.922046858628
2019,Q1,Andhra Pradesh,Chittoor,6486813,8223371732.233585,1267.7059955687926
2019,Q1,Andhra Pradesh,Krishna,5443981,9061346433.072681,1664.4706205022908
2019,Q1,Andhra Pradesh,East Godavari,5440146,7382264724.59952,1356.9975373086531
2019,Q1,Andhra Pradesh,Guntur,4846553,7765934169.404485,1602.362373712716
2019,Q1,Andhra Pradesh,Kurnool,4193432,5541564892.509682,1321.486766092709
2019,Q1,Andhra Pradesh,Anantapur,3891336,6044730653.191345,1553.381834205873
2019,Q1,Andhra Pradesh,Spsr Nellore,3333584,5161932216.216368,1548.4632204307338
2019,Q1,Andhra Pradesh,Prakasam,2931081,4807527779.215151,1640.1893291980505
2019,Q1,Andhra Pradesh,Ysr,2852197,4915811593.896078,1723.5175529236158
2019,Q2,Andhra Pradesh,Visakhapatnam,11705738,20797479804.029076,1776.6910385341853
2019,Q2,Andhra Pradesh,Krishna,6428472,13437029115.620754,2090.2368580933003
2019,Q2,Andhra Pradesh,Chittoor,5983308,10982727976.224325,1835.561193945611
2019,Q2,Andhra Pradesh,Guntur,5005275,10405246943.481495,2078.8561954101415
2019,Q2,Andhra Pradesh,East Godavari,4699261,9116404622.47651,1939.9655866053213
2019,Q2,Andhra Pradesh,Kurnool,3895824,7358285187.018034,1888.7622200125145
2019,Q2,Andhra Pradesh,Anantapur,3578836,7830782361.3776655,2188.0808065465044
2019,Q2,Andhra Pradesh,Spsr Nellore,3141891,6880873007.4820595,2190.0419229954377
2019,Q2,Andhra Pradesh,Prakasam,2670529,6262396448.455348,2345.0022255722924
2019,Q2,Andhra Pradesh,Ysr,2606284,6376856828.130632,2446.7236986186585
2019,Q3,Andhra Pradesh,Visakhapatnam,16694947,26944837120.046288,1613.9516417779755
2019,Q3,Andhra Pradesh,Krishna,8408474,16404073560.500784,1950.897815763096
2019,Q3,Andhra Pradesh,Chittoor,8201783,13837455758.755266,1687.1277573126802
2019,Q3,Andhra Pradesh,Guntur,6942304,13075661264.188034,1883.475754474024
2019,Q3,Andhra Pradesh,East Godavari,6537303,11387726470.57774,1741.9609387201021
2019,Q3,Andhra Pradesh,Kurnool,5139134,9025632779.412457,1756.2555830247775
2019,Q3,Andhra Pradesh,Anantapur,4889720,9554081289.488277,1953.9117351276304
2019,Q3,Andhra Pradesh,Spsr Nellore,4150195,8256600118.735449,1989.4487171652052
2019,Q3,Andhra Pradesh,Prakasam,3430750,7354502261.150911,2143.701016148338
2019,Q3,Andhra Pradesh,Ysr,3296586,7447544274.2117815,2259.168811070538
2019,Q4,Andhra Pradesh,Visakhapatnam,23594874,39133296330.04462,1658.5507653079485
2019,Q4,Andhra Pradesh,Krishna,11719402,23039786404.046635,1965.9523927967173
2019,Q4,Andhra Pradesh,Chittoor,11246986,19298476027.875484,1715.879794629022
2019,Q4,Andhra Pradesh,Guntur,9761330,18565626418.035915,1901.9566409532222
2019,Q4,Andhra Pradesh,East Godavari,9285739,16816774065.301317,1811.0323869000968
2019,Q4,Andhra Pradesh,Kurnool,7001958,13233105728.54823,1889.9150392716194
2019,Q4,Andhra Pradesh,Anantapur,6764112,13887248889.064064,2053.077904248786
2019,Q4,Andhra Pradesh,Spsr Nellore,5877804,11786014089.194025,2005.173035574855
2019,Q4,Andhra Pradesh,Prakasam,4865473,10604077824.801035,2179.454664490181
2019,Q4,Andhra Pradesh,Ysr,4793157,10865073855.730782,2266.788643837617
2020,Q1,Andhra Pradesh,Visakhapatnam,27115031,48809747614.678894,1800.0992738927312
2020,Q1,Andhra Pradesh,Chittoor,13257740,23441848567.344193,1768.1632440630299
2020,Q1,Andhra Pradesh,Krishna,12175289,24481702770.714714,2010.7697460581605
2020,Q1,Andhra Pradesh,Guntur,11493331,22992734620.64621,2000.5283603723071
2020,Q1,Andhra Pradesh,East Godavari,11346242,21854701379.428688,1926.1621054291534
2020,Q1,Andhra Pradesh,Anantapur,8466129,17864325752.82528,2110.0937338452177
2020,Q1,Andhra Pradesh,Kurnool,8246869,17022710311.813044,2064.142198913678
2020,Q1,Andhra Pradesh,Spsr Nellore,7430247,15387829694.446861,2070.9714891640697
2020,Q1,Andhra Pradesh,Prakasam,6318396,14169104764.526735,2242.5161013217175
2020,Q1,Andhra Pradesh,Ysr,6031255,14059924636.819914,2331.1772818128093
2020,Q2,Andhra Pradesh,Visakhapatnam,25300401,48293889917.41437,1908.8191494440885
2020,Q2,Andhra Pradesh,Chittoor,14848197,27361300300.01902,1842.7355388683904
2020,Q2,Andhra Pradesh,East Godavari,13130334,26319906327.32029,2004.5115628681106
2020,Q2,Andhra Pradesh,Krishna,12313709,26964149095.36629,2189.7666328939795
2020,Q2,Andhra Pradesh,Guntur,12308707,27463593607.83911,2231.2330294188587
2020,Q2,Andhra Pradesh,Anantapur,10473739,22094006659.412506,2109.4669878075542
2020,Q2,Andhra Pradesh,Kurnool,9821381,22419372061.805172,2282.7107574591773
2020,Q2,Andhra Pradesh,Spsr Nellore,9454274,20665376460.772232,2185.8237301745467
2020,Q2,Andhra Pradesh,Prakasam,8844580,19846026726.90433,2243.863103381317
2020,Q2,Andhra Pradesh,Ysr,8033609,19597207268.132023,2439.402672962055
