Year,Quarter,State,Pincode,Count,Amount,Average Transaction
2020,Q2,Andaman & Nicobar Islands,744301,3,565.0,188.33333333333334
2020,Q2,Andaman & Nicobar Islands,744104,2,513.0,256.5
2020,Q2,Andaman & Nicobar Islands,744101,1,282.0,282.0
2020,Q3,Andaman & Nicobar Islands,744112,9,3432.0,381.3333333333333
2020,Q3,Andaman & Nicobar Islands,744105,7,3948.0,564.0
2020,Q3,Andaman & Nicobar Islands,744101,5,2194.0,438.8
2020,Q3,Andaman & Nicobar Islands,744206,4,1620.0,405.0
2020,Q3,Andaman & Nicobar Islands,744107,3,1095.0,365.0
2020,Q3,Andaman & Nicobar Islands,744103,3,947.0,315.6666666666667
2020,Q3,Andaman & Nicobar Islands,744302,3,562.0,187.33333333333334
2020,Q3,Andaman & Nicobar Islands,744211,2,101.0,50.5
2020,Q3,Andaman & Nicobar Islands,744301,2,886.0,443.0
2020,Q3,Andaman & Nicobar Islands,744102,2,314.0,157.0
2020,Q4,Andaman & Nicobar Islands,744105,25,25659.0,1026.36
2020,Q4,Andaman & Nicobar Islands,744101,23,29686.0,1290.695652173913
2020,Q4,Andaman & Nicobar Islands,744103,18,24904.0,1383.5555555555557
2020,Q4,Andaman & Nicobar Islands,744102,17,25073.0,1474.8823529411766
2020,Q4,Andaman & Nicobar Islands,744112,8,10459.0,1307.375
2020,Q4,Andaman & Nicobar Islands,744106,6,4840.0,806.6666666666666
2020,Q4,Andaman & Nicobar Islands,744204,6,11659.0,1943.1666666666667
2020,Q4,Andaman & Nicobar Islands,744104,4,10271.0,2567.75
2020,Q4,Andaman & Nicobar Islands,744206,3,100.0,33.333333333333336
2020,Q4,Andaman & Nicobar Islands,744205,3,5235.0,1745.0
2021,Q1,Andaman & Nicobar Islands,744105,47,53060.0,1128.936170212766
2021,Q1,Andaman & Nicobar Islands,744103,35,39985.0,1142.4285714285713
2021,Q1,Andaman & Nicobar Islands,744101,33,24571.0,744.5757575757576
2021,Q1,Andaman & Nicobar Islands,744204,25,29635.0,1185.4
2021,Q1,Andaman & Nicobar Islands,744202,12,17588.0,1465.6666666666667
2021,Q1,Andaman & Nicobar Islands,744102,12,14085.0,1173.75
2021,Q1,Andaman & Nicobar Islands,744104,9,7310.0,812.2222222222222
2021,Q1,Andaman & Nicobar Islands,744107,8,9253.0,1156.625
2021,Q1,Andaman & Nicobar Islands,744205,7,11223.0,1603.2857142857142
2021,Q1,Andaman & Nicobar Islands,744301,7,6612.0,944.5714285714286
2021,Q2,Andaman & Nicobar Islands,744103,36,33716.0,936.5555555555555
2021,Q2,Andaman & Nicobar Islands,744101,17,19787.0,1163.9411764705883
2021,Q2,Andaman & Nicobar Islands,744105,15,17163.0,1144.2
2021,Q2,Andaman & Nicobar Islands,744102,13,10326.0,794.3076923076923
2021,Q2,Andaman & Nicobar Islands,744204,10,10557.0,1055.7
2021,Q2,Andaman & Nicobar Islands,744107,8,11459.0,1432.375
2021,Q2,Andaman & Nicobar Islands,744202,6,9766.0,1627.6666666666667
2021,Q2,Andaman & Nicobar Islands,744104,6,8889.0,1481.5
2021,Q2,Andaman & Nicobar Islands,744205,6,12669.0,2111.5
2021,Q2,Andaman & Nicobar Islands,744210,4,9430.0,2357.5
2021,Q3,Andaman & Nicobar Islands,744105,70,82425.0,1177.5
2021,Q3,Andaman & Nicobar Islands,744103,44,53909.0,1225.2045454545455
2021,Q3,Andaman & Nicobar Islands,744101,26,29601.0,1138.5
2021,Q3,Andaman & Nicobar Islands,744102,14,20616.0,1472.5714285714287
2021,Q3,Andaman & Nicobar Islands,744204,13,20075.0,1544.2307692307693
2021,Q3,Andaman & Nicobar Islands,744202,11,18134.0,1648.5454545454545
2021,Q3,Andaman & Nicobar Islands,744112,11,14406.0,1309.6363636363637
2021,Q3,Andaman & Nicobar Islands,744302,8,7247.0,905.875
2021,Q3,Andaman & Nicobar Islands,744107,6,6406.0,1067.6666666666667
2021,Q3,Andaman & Nicobar Islands,744104,6,2221.0,370.1666666666667
2021,Q4,Andaman & Nicobar Islands,744105,194,232344.0,1197.6494845360826
2021,Q4,Andaman & Nicobar Islands,744101,159,211326.0,1329.0943396226414
2021,Q4,Andaman & Nicobar Islands,744103,133,168668.0,1268.1804511278197
2021,Q4,Andaman & Nicobar Islands,744102,66,68931.0,1044.409090909091
2021,Q4,Andaman & Nicobar Islands,744301,32,53658.0,1676.8125
2021,Q4,Andaman & Nicobar Islands,744204,31,102213.0,3297.1935483870966
2021,Q4,Andaman & Nicobar Islands,744104,24,31069.0,1294.5416666666667
2021,Q4,Andaman & Nicobar Islands,744112,22,38599.0,1754.5
2021,Q4,Andaman & Nicobar Islands,744202,21,23016.0,1096.0
2021,Q4,Andaman & Nicobar Islands,744205,13,30437.0,2341.3076923076924
2022,Q1,Andaman & Nicobar Islands,744103,174,226181.0,1299.8908045977012
2022,Q1,Andaman & Nicobar Islands,744101,149,204646.0,1373.4630872483222
2022,Q1,Andaman & Nicobar Islands,744105,137,218321.0,1593.5839416058395
2022,Q1,Andaman & Nicobar Islands,744102,102,147402.0,1445.1176470588234
2022,Q1,Andaman & Nicobar Islands,744112,36,39197.0,1088.8055555555557
2022,Q1,Andaman & Nicobar Islands,744104,33,35406.0,1072.909090909091
2022,Q1,Andaman & Nicobar Islands,744107,28,36877.0,1317.0357142857142
2022,Q1,Andaman & Nicobar Islands,744207,19,50799.0,2673.6315789473683
2022,Q1,Andaman & Nicobar Islands,744301,16,33406.0,2087.875
2022,Q1,Andaman & Nicobar Islands,744205,15,29159.0,1943.9333333333334
2022,Q2,Andaman & Nicobar Islands,744103,97,156861.0,1617.1237113402062
2022,Q2,Andaman & Nicobar Islands,744101,87,121168.0,1392.7356321839081
2022,Q2,Andaman & Nicobar Islands,744105,78,137418.0,1761.7692307692307
2022,Q2,Andaman & Nicobar Islands,744102,62,58453.0,942.7903225806451
2022,Q2,Andaman & Nicobar Islands,744104,26,32107.0,1234.8846153846155
2022,Q2,Andaman & Nicobar Islands,744107,22,52244.0,2374.7272727272725
2022,Q2,Andaman & Nicobar Islands,744211,19,25543.0,1344.3684210526317
2022,Q2,Andaman & Nicobar Islands,744112,18,24391.0,1355.0555555555557
2022,Q2,Andaman & Nicobar Islands,744301,14,28331.0,2023.642857142857
2022,Q2,Andaman & Nicobar Islands,744202,13,20817.0,1601.3076923076924
2022,Q3,Andaman & Nicobar Islands,744103,151,198569.0,1315.0264900662253
2022,Q3,Andaman & Nicobar Islands,744101,119,151539.0,1273.436974789916
2022,Q3,Andaman & Nicobar Islands,744105,101,106324.0,1052.7128712871288
2022,Q3,Andaman & Nicobar Islands,744102,76,102757.0,1352.0657894736842
2022,Q3,Andaman & Nicobar Islands,744104,31,35790.0,1154.516129032258
2022,Q3,Andaman & Nicobar Islands,744301,27,67604.0,2503.8518518518517
2022,Q3,Andaman & Nicobar Islands,744202,27,53016.0,1963.5555555555557
2022,Q3,Andaman & Nicobar Islands,744205,17,34250.0,2014.7058823529412
2022,Q3,Andaman & Nicobar Islands,744107,16,29251.0,1828.1875
2022,Q3,Andaman & Nicobar Islands,744204,11,17184.0,1562.1818181818182
2022,Q4,Andaman & Nicobar Islands,744103,199,299036.0,1502.6934673366834
2022,Q4,Andaman & Nicobar Islands,744105,166,253344.0,1526.1686746987953
2022,Q4,Andaman & Nicobar Islands,744101,146,163498.0,1119.849315068493
2022,Q4,Andaman & Nicobar Islands,744102,80,98862.0,1235.775
2022,Q4,Andaman & Nicobar Islands,744202,43,68397.0,1590.6279069767443
2022,Q4,Andaman & Nicobar Islands,744107,38,73829.0,1942.8684210526317
2022,Q4,Andaman & Nicobar Islands,744104,31,55827.0,1800.8709677419354
2022,Q4,Andaman & Nicobar Islands,744205,27,56611.0,2096.703703703704
2022,Q4,Andaman & Nicobar Islands,744211,27,59500.0,2203.703703703704
2022,Q4,Andaman & Nicobar Islands,744112,25,42024.0,1680.96
2023,Q1,Andaman & Nicobar Islands,744103,236,286594.0,1214.3813559322034
2023,Q1,Andaman & Nicobar Islands,744101,206,233281.0,1132.4320388349515
2023,Q1,Andaman & Nicobar Islands,744105,164,256300.0,1562.8048780487804
2023,Q1,Andaman & Nicobar Islands,744102,117,134841.0,1152.4871794871794
2023,Q1,Andaman & Nicobar Islands,744107,30,54849.0,1828.3
2023,Q1,Andaman & Nicobar Islands,744301,30,58745.0,1958.1666666666667
2023,Q1,Andaman & Nicobar Islands,744112,29,49945.0,1722.2413793103449
2023,Q1,Andaman & Nicobar Islands,744202,29,64193.0,2213.551724137931
2023,Q1,Andaman & Nicobar Islands,744205,27,40580.0,1502.962962962963
2023,Q1,Andaman & Nicobar Islands,744211,24,29149.0,1214.5416666666667
2023,Q2,Andaman & Nicobar Islands,744103,171,341853.0,1999.140350877193
2023,Q2,Andaman & Nicobar Islands,744105,166,255069.0,1536.5602409638554
2023,Q2,Andaman & Nicobar Islands,744101,134,189989.0,1417.8283582089553
2023,Q2,Andaman & Nicobar Islands,744102,82,101875.0,1242.378048780488
2023,Q2,Andaman & Nicobar Islands,744104,27,34345.0,1272.037037037037
2023,Q2,Andaman & Nicobar Islands,744301,25,41299.0,1651.96
2023,Q2,Andaman & Nicobar Islands,744207,22,43459.0,1975.409090909091
2023,Q2,Andaman & Nicobar Islands,744112,21,20427.0,972.7142857142857
2023,Q2,Andaman & Nicobar Islands,744107,20,24693.0,1234.65
2023,Q2,Andaman & Nicobar Islands,744205,17,31404.0,1847.2941176470588
2023,Q3,Andaman & Nicobar Islands,744103,191,306744.0,1605.9895287958116
2023,Q3,Andaman & Nicobar Islands,744105,147,212575.0,1446.0884353741496
2023,Q3,Andaman & Nicobar Islands,744101,143,213581.0,1493.5734265734266
2023,Q3,Andaman & Nicobar Islands,744102,100,120875.0,1208.75
2023,Q3,Andaman & Nicobar Islands,744202,35,60750.0,1735.7142857142858
2023,Q3,Andaman & Nicobar Islands,744104,30,50544.0,1684.8
2023,Q3,Andaman & Nicobar Islands,744112,26,46075.0,1772.1153846153845
2023,Q3,Andaman & Nicobar Islands,744301,18,34636.0,1924.2222222222222
2023,Q3,Andaman & Nicobar Islands,744205,16,25131.0,1570.6875
2023,Q3,Andaman & Nicobar Islands,744302,16,24369.0,1523.0625
2023,Q4,Andaman & Nicobar Islands,744103,268,415144.0,1549.044776119403
2023,Q4,Andaman & Nicobar Islands,744105,214,372312.0,1739.7757009345794
2023,Q4,Andaman & Nicobar Islands,744101,181,241849.0,1336.1823204419888
2023,Q4,Andaman & Nicobar Islands,744102,121,161224.0,1332.4297520661157
