Year,Quarter,State,Pincode,Count,Amount,Average Transaction
2018,Q1,Andaman & Nicobar Islands,744101,1622,2769297.9039997994,1707.3353292230577
2018,Q1,Andaman & Nicobar Islands,744103,1223,2238041.8716124697,1829.96064727103
2018,Q1,Andaman & Nicobar Islands,744102,969,3519059.937562449,3631.6408024380275
2018,Q1,Andaman & Nicobar Islands,744105,685,1298560.9515503529,1895.709418321683
2018,Q1,Andaman & Nicobar Islands,744104,340,1039715.3111450541,3057.986209250159
2018,Q1,Andaman & Nicobar Islands,744107,302,556059.5308556345,1841.2567246875315
2018,Q1,Andaman & Nicobar Islands,744301,283,445739.1633851439,1575.0500472973283
2018,Q1,Andaman & Nicobar Islands,744112,269,333709.56700413954,1240.5560111678049
2018,Q1,Andaman & Nicobar Islands,744202,193,238914.01667155625,1237.8964594381152
2018,Q1,Andaman & Nicobar Islands,744302,168,547469.6509380838,3258.7479222504985
2018,Q2,Andaman & Nicobar Islands,744101,2701,6310089.917084678,2336.205078520799
2018,Q2,Andaman & Nicobar Islands,744103,1965,4752146.698501162,2418.395266412805
2018,Q2,Andaman & Nicobar Islands,744102,1525,5810267.574788321,3810.011524451358
2018,Q2,Andaman & Nicobar Islands,744105,997,2200332.971862734,2206.9538333628225
2018,Q2,Andaman & Nicobar Islands,744301,767,1953749.3787199226,2547.261249960786
2018,Q2,Andaman & Nicobar Islands,744104,659,1650346.1906506256,2504.318953946321
2018,Q2,Andaman & Nicobar Islands,744107,594,1601569.9821441039,2696.24576118536
2018,Q2,Andaman & Nicobar Islands,744112,432,578829.1795229593,1339.8823600068501
2018,Q2,Andaman & Nicobar Islands,744202,405,626523.9803147907,1546.9727909007179
2018,Q2,Andaman & Nicobar Islands,744302,291,1026590.0735863491,3527.8009401592753
2018,Q3,Andaman & Nicobar Islands,744101,3462,10833893.444488766,3129.3741896270267
2018,Q3,Andaman & Nicobar Islands,744103,3182,10184154.358592123,3200.551338338191
2018,Q3,Andaman & Nicobar Islands,744102,2224,10365275.479700703,4660.645449505711
2018,Q3,Andaman & Nicobar Islands,744105,1613,5152534.080403434,3194.3794670821044
2018,Q3,Andaman & Nicobar Islands,744104,1029,2588077.6866583927,2515.1386653628692
2018,Q3,Andaman & Nicobar Islands,744301,975,4256576.349618757,4365.719332942315
2018,Q3,Andaman & Nicobar Islands,744112,579,1145815.7801705198,1978.956442436131
2018,Q3,Andaman & Nicobar Islands,744107,547,1492405.302862124,2728.3460747022377
2018,Q3,Andaman & Nicobar Islands,744302,417,1976781.9199490356,4740.484220501285
2018,Q3,Andaman & Nicobar Islands,744202,341,2099404.0789861116,6156.610202305313
2018,Q4,Andaman & Nicobar Islands,744101,4674,16392855.280625317,3507.2433206301494
2018,Q4,Andaman & Nicobar Islands,744103,4576,17022520.257624768,3719.9563500054123
2018,Q4,Andaman & Nicobar Islands,744102,3306,17019977.183053624,5148.20846432354
2018,Q4,Andaman & Nicobar Islands,744105,2513,9935282.832151461,3953.55464868741
2018,Q4,Andaman & Nicobar Islands,744104,1432,6091757.917089159,4254.020891822038
2018,Q4,Andaman & Nicobar Islands,744211,1225,3451359.606027063,2817.436413083317
2018,Q4,Andaman & Nicobar Islands,744301,928,4606293.657525641,4963.678510264699
2018,Q4,Andaman & Nicobar Islands,744112,759,2208675.0435713646,2909.980294560428
2018,Q4,Andaman & Nicobar Islands,744107,747,1825659.5128978956,2443.988638417531
2018,Q4,Andaman & Nicobar Islands,744202,702,3797054.1677634423,5408.909070888094
2019,Q1,Andaman & Nicobar Islands,744103,5742,19401964.77965755,3378.955900323502
2019,Q1,Andaman & Nicobar Islands,744101,5156,15501306.227195919,3006.4597027144914
2019,Q1,Andaman & Nicobar Islands,744102,3925,16683547.094795756,4250.585247081722
2019,Q1,Andaman & Nicobar Islands,744105,3553,11588669.48032856,3261.6576077479763
2019,Q1,Andaman & Nicobar Islands,744104,2833,9141657.219605077,3226.846883023324
2019,Q1,Andaman & Nicobar Islands,744211,1511,5794838.401831552,3835.101523382894
2019,Q1,Andaman & Nicobar Islands,744202,1112,3613381.294736007,3249.4436103741073
2019,Q1,Andaman & Nicobar Islands,744107,1029,3592930.2975779255,3491.671814944534
2019,Q1,Andaman & Nicobar Islands,744301,920,4652963.41114777,5057.568925160619
2019,Q1,Andaman & Nicobar Islands,744112,802,1893718.6537822199,2361.2452042172317
2019,Q2,Andaman & Nicobar Islands,744104,6142,15625676.560883244,2544.06977546129
2019,Q2,Andaman & Nicobar Islands,744103,5847,23751450.067206983,4062.1600935876486
2019,Q2,Andaman & Nicobar Islands,744101,4863,19061125.41121897,3919.622745469663
2019,Q2,Andaman & Nicobar Islands,744102,4120,18948733.987097777,4599.207278421791
2019,Q2,Andaman & Nicobar Islands,744105,3500,13418692.199162653,3833.912056903615
2019,Q2,Andaman & Nicobar Islands,744202,1153,3619993.3910789257,3139.630000935755
2019,Q2,Andaman & Nicobar Islands,744107,1124,2967445.3902032813,2640.075969931745
2019,Q2,Andaman & Nicobar Islands,744211,1047,3168331.9917352106,3026.105054188358
2019,Q2,Andaman & Nicobar Islands,744301,1007,4849284.51925976,4815.575490823992
2019,Q2,Andaman & Nicobar Islands,744112,763,2928099.608406143,3837.614165669912
2019,Q3,Andaman & Nicobar Islands,744103,5680,19906337.014255583,3504.6367982844336
2019,Q3,Andaman & Nicobar Islands,744101,5606,18745152.093515635,3343.7659817188073
2019,Q3,Andaman & Nicobar Islands,744104,4786,15754793.354826454,3291.8498443013905
2019,Q3,Andaman & Nicobar Islands,744102,3643,14572605.602745283,4000.1662373717495
2019,Q3,Andaman & Nicobar Islands,744105,3512,11767223.99688773,3350.5763089088073
2019,Q3,Andaman & Nicobar Islands,744202,1417,3875602.0982028744,2735.075580947688
2019,Q3,Andaman & Nicobar Islands,744301,1402,6195496.621729916,4419.041812931467
