Year,Quarter,State,District,Count,Amount,Average Transaction
2020,Q2,Andaman & Nicobar Islands,Nicobars,3,565.0,188.33333333333334
2020,Q2,Andaman & Nicobar Islands,South Andaman,3,795.0,265.0
2020,Q3,Andaman & Nicobar Islands,South Andaman,35,13651.0,390.0285714285714
2020,Q3,Andaman & Nicobar Islands,Nicobars,5,1448.0,289.6
2020,Q3,Andaman & Nicobar Islands,North And Middle Andaman,1,281.0,281.0
2020,Q4,Andaman & Nicobar Islands,South Andaman,109,137494.0,1261.4128440366972
2020,Q4,Andaman & Nicobar Islands,North And Middle Andaman,13,17734.0,1364.1538461538462
2020,Q4,Andaman & Nicobar Islands,Nicobars,2,2747.0,1373.5
2021,Q1,Andaman & Nicobar Islands,South Andaman,164,167044.0,1018.560975609756
2021,Q1,Andaman & Nicobar Islands,North And Middle Andaman,48,63978.0,1332.875
2021,Q1,Andaman & Nicobar Islands,Nicobars,13,13244.0,1018.7692307692307
2021,Q2,Andaman & Nicobar Islands,South Andaman,105,121104.0,1153.3714285714286
2021,Q2,Andaman & Nicobar Islands,North And Middle Andaman,28,45311.0,1618.25
2021,Q2,Andaman & Nicobar Islands,Nicobars,4,15089.0,3772.25
2021,Q3,Andaman & Nicobar Islands,South Andaman,182,223699.0,1229.1153846153845
2021,Q3,Andaman & Nicobar Islands,North And Middle Andaman,33,50997.0,1545.3636363636363
2021,Q3,Andaman & Nicobar Islands,Nicobars,15,30539.0,2035.9333333333334
2021,Q4,Andaman & Nicobar Islands,South Andaman,632,800758.0,1267.0221518987341
2021,Q4,Andaman & Nicobar Islands,North And Middle Andaman,81,182061.0,2247.6666666666665
2021,Q4,Andaman & Nicobar Islands,Nicobars,44,73561.0,1671.840909090909
2022,Q1,Andaman & Nicobar Islands,South Andaman,692,982206.0,1419.3728323699422
2022,Q1,Andaman & Nicobar Islands,North And Middle Andaman,48,85229.0,1775.6041666666667
2022,Q1,Andaman & Nicobar Islands,Nicobars,28,63852.0,2280.4285714285716
2022,Q2,Andaman & Nicobar Islands,South Andaman,430,633029.0,1472.160465116279
2022,Q2,Andaman & Nicobar Islands,North And Middle Andaman,45,90403.0,2008.9555555555555
2022,Q2,Andaman & Nicobar Islands,Nicobars,26,56308.0,2165.6923076923076
2022,Q3,Andaman & Nicobar Islands,South Andaman,535,687813.0,1285.6317757009347
2022,Q3,Andaman & Nicobar Islands,North And Middle Andaman,70,129013.0,1843.0428571428572
2022,Q3,Andaman & Nicobar Islands,Nicobars,38,85640.0,2253.684210526316
2022,Q4,Andaman & Nicobar Islands,South Andaman,750,1114857.0,1486.476
2022,Q4,Andaman & Nicobar Islands,North And Middle Andaman,112,224198.0,2001.767857142857
2022,Q4,Andaman & Nicobar Islands,Nicobars,39,102155.0,2619.358974358974
2023,Q1,Andaman & Nicobar Islands,South Andaman,872,1172083.0,1344.1318807339449
2023,Q1,Andaman & Nicobar Islands,North And Middle Andaman,85,178969.0,2105.5176470588235
2023,Q1,Andaman & Nicobar Islands,Nicobars,47,88146.0,1875.4468085106382
2023,Q2,Andaman & Nicobar Islands,South Andaman,670,1060976.0,1583.5462686567164
2023,Q2,Andaman & Nicobar Islands,North And Middle Andaman,56,109742.0,1959.6785714285713
2023,Q2,Andaman & Nicobar Islands,Nicobars,42,62677.0,1492.3095238095239
2023,Q3,Andaman & Nicobar Islands,South Andaman,682,1052324.0,1542.9970674486804
2023,Q3,Andaman & Nicobar Islands,North And Middle Andaman,77,133536.0,1734.2337662337663
2023,Q3,Andaman & Nicobar Islands,Nicobars,36,65285.0,1813.4722222222222
2023,Q4,Andaman & Nicobar Islands,South Andaman,1006,1504528.0,1495.5546719681909
2023,Q4,Andaman & Nicobar Islands,North And Middle Andaman,95,156995.0,1652.578947368421
2023,Q4,Andaman & Nicobar Islands,Nicobars,44,96298.0,2188.590909090909
2020,Q2,Andhra Pradesh,Visakhapatnam,3504,614212.0,175.28881278538813
2020,Q2,Andhra Pradesh,Anantapur,2739,485777.0,177.3556042351223
2020,Q2,Andhra Pradesh,Krishna,2698,475539.0,176.25611564121573
2020,Q2,Andhra Pradesh,Chittoor,2228,395099.0,177.3334829443447
2020,Q2,Andhra Pradesh,Ysr,1978,343002.0,173.40849342770474
2020,Q2,Andhra Pradesh,Guntur,1938,344326.0,177.67079463364294
2020,Q2,Andhra Pradesh,East Godavari,1913,352220.0,184.11918452692106
2020,Q2,Andhra Pradesh,West Godavari,1074,202289.0,188.35102420856612
2020,Q2,Andhra Pradesh,Spsr Nellore,931,176423.0,189.49838882921588
2020,Q2,Andhra Pradesh,Vizianagaram,893,166029.0,185.92273236282196
2020,Q3,Andhra Pradesh,Visakhapatnam,7906,1892376.0,239.35947381735392
2020,Q3,Andhra Pradesh,Spsr Nellore,5509,1259159.0,228.56398620439282
2020,Q3,Andhra Pradesh,Krishna,4519,1093882.0,242.0628457623368
2020,Q3,Andhra Pradesh,Chittoor,4422,1178762.0,266.56761646313885
2020,Q3,Andhra Pradesh,Guntur,4230,1083584.0,256.16643026004726
